Slug,Difficulty,Paid
find-trending-hashtags-ii,Hard,True
guess-the-number-using-bitwise-questions-ii,Medium,True
find-bursty-behavior,Medium,True
make-string-anti-palindrome,Hard,True
find-trending-hashtags,Medium,True
match-alphanumerical-pattern-in-matrix-i,Medium,True
maximum-increasing-triplet-value,Medium,True
guess-the-number-using-bitwise-questions-i,Medium,True
calculate-trapping-rain-water,Hard,True
winner-of-the-linked-list-game,Easy,True
user-activities-within-time-bounds,Hard,True
find-all-unique-email-domains,Easy,True
linked-list-frequency,Easy,True
friends-with-no-mutual-friends,Medium,True
employees-project-allocation,Hard,True
find-pattern-in-infinite-stream-ii,Hard,True
count-numbers-with-unique-digits-ii,Easy,True
snaps-analysis,Medium,True
top-percentile-fraud,Medium,True
find-pattern-in-infinite-stream-i,Medium,True
maximum-number-of-removal-queries-that-can-be-processed-i,Hard,True
maximum-number-of-intersections-on-the-chart,Hard,True
maximum-subtree-of-the-same-color,Medium,True
viewers-turned-streamers,Hard,True
friday-purchases-ii,Hard,True
friday-purchases-i,Medium,True
number-of-self-divisible-permutations,Medium,True
top-three-wineries,Hard,True
loan-types,Easy,True
class-performance,Medium,True
manager-of-the-largest-department,Medium,True
find-expensive-cities,Easy,True
find-third-transaction,Medium,True
calculate-compressed-mean,Easy,True
find-peak-calling-hours-for-each-city,Medium,True
most-expensive-item-that-can-not-be-bought,Medium,True
minimum-number-of-coins-for-fruits-ii,Hard,True
binary-tree-nodes,Medium,True
classifying-triangles-by-lengths,Easy,True
maximize-items,Hard,True
find-candidates-for-data-scientist-position,Easy,True
pizza-toppings-cost-analysis,Medium,True
number-of-divisible-triplet-sums,Medium,True
symmetric-coordinates,Medium,True
number-of-same-end-substrings,Medium,True
number-of-divisible-substrings,Medium,True
maximum-gcd-sum-of-a-subarray,Hard,True
number-of-equal-numbers-blocks,Medium,True
distribute-candies-among-children-iii,Hard,True
market-analysis-iii,Medium,True
maximum-profitable-triplets-with-increasing-prices-ii,Hard,True
number-of-ways-to-reach-destination-in-the-grid,Hard,True
maximum-profitable-triplets-with-increasing-prices-i,Medium,True
maximum-linear-stock-score,Medium,True
minimizing-array-after-replacing-pairs-with-their-product,Medium,True
the-wording-game,Hard,True
calculate-orders-within-each-interval,Medium,True
maximum-length-of-semi-decreasing-subarrays,Medium,True
rolling-average-steps,Medium,True
highest-salaries-difference,Easy,True
sum-of-remoteness-of-all-cells,Medium,True
smallest-number-with-given-digit-product,Medium,True
maximum-coins-heroes-can-collect,Medium,True
total-traveled-distance,Easy,True
maximal-range-that-each-element-is-maximum-in-it,Medium,True
election-results,Medium,True
minimum-relative-loss-after-buying-chocolates,Hard,True
minimum-time-takes-to-reach-destination-without-drowning,Hard,True
find-the-k-th-lucky-number,Medium,True
count-nodes-that-are-great-enough,Hard,True
status-of-flight-tickets,Hard,True
flight-occupancy-and-waitlist-analysis,Medium,True
number-of-unique-categories,Medium,True
height-of-special-binary-tree,Medium,True
inversion-of-object,Easy,True
is-array-a-preorder-of-some-binary-tree,Medium,True
deep-object-filter,Medium,True
delay-the-resolution-of-each-promise,Medium,True
custom-interval,Medium,True
array-prototype-foreach,Easy,True
factorial-generator,Easy,True
partial-function-with-placeholders,Easy,True
repeat-string,Easy,True
parallel-execution-of-promises-for-individual-results-retrieval,Medium,True
count-houses-in-a-circular-street-ii,Hard,True
count-substrings-without-repeating-character,Medium,True
count-occurrences-in-text,Medium,True
find-the-closest-marked-node,Medium,True
count-houses-in-a-circular-street,Easy,True
popularity-percentage,Hard,True
find-shortest-path-with-k-hops,Hard,True
create-object-from-two-arrays,Easy,True
consecutive-transactions-with-increasing-amounts,Hard,True
customers-with-maximum-number-of-transactions-on-consecutive-days,Hard,True
convert-json-string-to-object,Hard,True
extract-kth-character-from-the-rope-tree,Easy,True
find-active-users,Medium,True
bikes-last-time-used,Easy,True
immediate-food-delivery-iii,Medium,True
split-a-circular-linked-list,Medium,True
count-artist-occurrences-on-spotify-ranking-list,Easy,True
find-latest-salaries,Easy,True
the-knights-tour,Medium,True
next-day,Easy,True
find-maximal-uncovered-ranges,Medium,True
generate-circular-array-values,Medium,True
query-batching,Hard,True
date-range-generator,Medium,True
deep-merge-of-two-objects,Medium,True
convert-callback-based-function-to-promise-based-function,Medium,True
undefined-to-null,Medium,True
make-object-immutable,Medium,True
differences-between-two-objects,Medium,True
immutability-helper,Hard,True
infinite-method-object,Easy,True
throttle,Medium,True
bind-function-to-context,Medium,True
array-of-objects-to-matrix,Hard,True
array-upper-bound,Easy,True
promise-pool,Medium,True
convert-object-to-json-string,Medium,True
curry,Medium,True
count-the-number-of-k-free-subsets,Medium,True
json-deep-equal,Medium,True
minimum-operations-to-make-numbers-non-positive,Hard,True
beautiful-pairs,Hard,True
maximum-number-of-integers-to-choose-from-a-range-ii,Medium,True
maximum-price-to-fill-a-bag,Medium,True
design-a-todo-list,Medium,True
count-the-number-of-good-subsequences,Medium,True
make-the-prefix-sum-non-negative,Medium,True
number-of-good-binary-strings,Medium,True
maximum-frequency-score-of-a-subarray,Hard,True
minimum-time-to-eat-all-grains,Hard,True
count-the-number-of-k-big-indices,Hard,True
check-if-there-is-a-path-with-equal-number-of-0s-and-1s,Medium,True
bitwise-or-of-all-subsequence-sums,Medium,True
concatenate-the-name-and-the-profession,Easy,True
number-of-subarrays-having-even-product,Medium,True
merge-overlapping-events-in-the-same-hall,Hard,True
number-of-substrings-with-fixed-ratio,Medium,True
maximum-xor-of-two-non-overlapping-subtrees,Hard,True
form-a-chemical-bond,Easy,True
time-taken-to-cross-the-door,Hard,True
customers-with-strictly-increasing-purchases,Hard,True
minimum-cost-to-buy-apples,Medium,True
minimum-subarrays-in-a-valid-split,Medium,True
number-of-distinct-binary-strings-after-applying-operations,Medium,True
number-of-nodes-with-value-one,Medium,True
minimum-split-into-subarrays-with-gcd-greater-than-one,Medium,True
maximize-total-tastiness-of-purchased-fruits,Medium,True
merge-operations-to-turn-array-into-a-palindrome,Medium,True
closest-fair-integer,Medium,True
design-sql,Medium,True
color-the-triangle-red,Hard,True
minimum-time-to-kill-all-monsters,Hard,True
count-strictly-increasing-subarrays,Medium,True
employees-with-deductions,Medium,True
change-null-values-in-a-table-to-the-previous-value,Medium,True
median-of-a-row-wise-sorted-matrix,Medium,True
choose-edges-to-maximize-score-in-a-tree,Medium,True
sort-the-olympic-table,Easy,True
calculate-the-influence-of-each-salesperson,Medium,True
minimize-maximum-value-in-a-grid,Hard,True
generate-the-invoice,Hard,True
minimum-costs-using-the-train-line,Hard,True
maximum-number-of-books-you-can-take,Hard,True
sort-array-by-moving-items-to-empty-space,Hard,True
finding-the-number-of-visible-mountains,Medium,True
compute-the-rank-as-a-percentage,Medium,True
minimum-adjacent-swaps-to-make-a-valid-array,Medium,True
valid-palindrome-iv,Medium,True
find-minimum-time-to-finish-all-jobs-ii,Medium,True
all-the-matches-of-the-league,Easy,True
product-sales-analysis-v,Easy,True
product-sales-analysis-iv,Medium,True
the-first-day-of-the-maximum-recorded-degree-in-each-city,Medium,True
arrange-table-by-gender,Medium,True
tasks-count-in-the-weekend,Medium,True
products-with-three-or-more-orders-in-two-consecutive-years,Medium,True
maximum-profit-from-trading-stocks,Medium,True
number-of-people-that-can-be-seen-in-a-grid,Medium,True
closest-node-to-path-in-tree,Hard,True
minimum-number-of-keypresses,Medium,True
minimum-flips-in-binary-tree-to-get-result,Hard,True
design-video-sharing-platform,Hard,True
count-positions-on-street-with-required-brightness,Medium,True
dynamic-unpivoting-of-a-table,Hard,True
dynamic-pivoting-of-a-table,Hard,True
number-of-times-a-driver-was-a-passenger,Medium,True
the-users-that-are-eligible-for-discount,Easy,True
users-with-two-purchases-within-seven-days,Medium,True
maximum-sum-score-of-array,Medium,True
minimum-health-to-beat-game,Medium,True
the-number-of-users-that-are-eligible-for-discount,Easy,True
finding-the-topic-of-each-post,Hard,True
number-of-ways-to-build-sturdy-brick-wall,Medium,True
the-change-in-global-rankings,Medium,True
remove-all-ones-with-row-and-column-flips-ii,Medium,True
longest-winning-streak,Hard,True
unique-substrings-with-equal-digit-frequency,Medium,True
order-two-columns-independently,Medium,True
amount-of-new-area-painted-each-day,Hard,True
the-number-of-passengers-in-each-bus-ii,Hard,True
minimum-number-of-lines-to-cover-points,Medium,True
choose-numbers-from-two-arrays-in-range,Hard,True
the-number-of-passengers-in-each-bus-i,Medium,True
pour-water-between-buckets-to-make-water-levels-equal,Medium,True
remove-all-ones-with-row-and-column-flips,Medium,True
minimum-operations-to-remove-adjacent-ones-in-matrix,Hard,True
elements-in-array-after-removing-and-replacing-elements,Medium,True
build-the-equation,Hard,True
the-airport-with-the-most-traffic,Medium,True
number-of-unique-flavors-after-sharing-k-candies,Medium,True
subsequence-of-size-k-with-the-largest-even-sum,Medium,True
minimum-cost-to-reach-city-with-discounts,Medium,True
substrings-that-begin-and-end-with-the-same-letter,Medium,True
drop-type-1-orders-for-customers-with-type-0-orders,Medium,True
the-number-of-rich-customers,Easy,True
paths-in-maze-that-lead-to-same-room,Medium,True
the-winner-university,Easy,True
number-of-equal-count-substrings,Medium,True
account-balance,Medium,True
number-of-spaces-cleaning-robot-cleaned,Medium,True
the-category-of-each-member-in-the-store,Medium,True
accepted-candidates-from-the-interviews,Medium,True
low-quality-problems,Easy,True
number-of-accounts-that-did-not-stream,Medium,True
the-number-of-seniors-and-juniors-to-join-the-company-ii,Hard,True
subtree-removal-game-with-fibonacci-tree,Hard,True
the-number-of-seniors-and-juniors-to-join-the-company,Hard,True
count-the-number-of-experiments,Medium,True
average-height-of-buildings-in-each-segment,Medium,True
smallest-greater-multiple-made-of-two-digits,Medium,True
find-cutoff-score-for-each-school,Medium,True
count-nodes-equal-to-sum-of-descendants,Medium,True
first-and-last-call-on-the-same-day,Hard,True
binary-searchable-numbers-in-an-unsorted-array,Medium,True
all-the-pairs-with-the-maximum-number-of-common-followers,Medium,True
strong-friendship,Medium,True
users-that-actively-request-confirmation-messages,Easy,True
minimum-cost-to-separate-sentence-into-rows,Medium,True
brightest-position-on-street,Medium,True
erect-the-fence-ii,Hard,True
minimum-time-for-k-virus-variants-to-spread,Hard,True
maximum-of-minimum-values-in-all-subarrays,Medium,True
longest-common-subsequence-between-sorted-arrays,Medium,True
check-if-string-is-decomposable-into-value-equal-substrings,Easy,True
kth-smallest-subarray-sum,Medium,True
check-for-contradictions-in-equations,Hard,True
leetcodify-similar-friends,Hard,True
leetcodify-friends-recommendations,Hard,True
game-of-nim,Medium,True
jump-game-viii,Medium,True
depth-of-bst-given-insertion-order,Medium,True
page-recommendations-ii,Hard,True
cutting-ribbons,Medium,True
count-pairs-in-two-arrays,Medium,True
group-employees-of-the-same-salary,Medium,True
minimize-product-sum-of-two-arrays,Medium,True
product-of-two-run-length-encoded-arrays,Medium,True
orders-with-maximum-quantity-above-average,Medium,True
longest-word-with-all-prefixes,Medium,True
maximum-cost-of-trip-with-k-highways,Hard,True
convert-date-format,Easy,True
distinct-numbers-in-each-subarray,Medium,True
suspicious-bank-accounts,Medium,True
next-palindrome-using-same-digits,Hard,True
sort-linked-list-already-sorted-using-absolute-values,Medium,True
league-statistics,Medium,True
remove-duplicates-from-an-unsorted-linked-list,Medium,True
maximum-transaction-each-day,Medium,True
faulty-sensor,Easy,True
maximum-number-of-people-that-can-be-caught-in-tag,Medium,True
find-customers-with-positive-revenue-this-year,Easy,True
maximum-number-of-accepted-invitations,Medium,True
find-interview-candidates,Medium,True
minimum-path-cost-in-a-hidden-grid,Medium,True
ad-free-sessions,Easy,True
implement-trie-ii-prefix-tree,Medium,True
count-pairs-of-equal-substrings-with-minimum-difference,Medium,True
maximize-the-beauty-of-the-garden,Hard,True
grand-slam-titles,Medium,True
shortest-path-in-a-hidden-grid,Medium,True
products-price-for-each-store,Easy,True
sort-features-by-popularity,Medium,True
find-the-subtasks-that-did-not-execute,Hard,True
buildings-with-an-ocean-view,Medium,True
design-most-recently-used-queue,Medium,True
leetflex-banned-accounts,Medium,True
maximum-subarray-sum-after-one-operation,Medium,True
find-distance-in-a-binary-tree,Medium,True
checking-existence-of-edge-length-limited-paths-ii,Hard,True
count-apples-and-oranges,Medium,True
biggest-window-between-visits,Medium,True
largest-subarray-length-k,Easy,True
number-of-calls-between-two-persons,Medium,True
number-of-distinct-substrings-in-a-string,Medium,True
count-ways-to-distribute-candies,Hard,True
longest-palindromic-subsequence-ii,Medium,True
products-worth-over-invoices,Easy,True
lowest-common-ancestor-of-a-binary-tree-iv,Medium,True
change-the-root-of-a-binary-tree,Medium,True
sum-of-special-evenly-spaced-elements-in-array,Hard,True
correct-a-binary-tree,Medium,True
hopper-company-queries-iii,Hard,True
lowest-common-ancestor-of-a-binary-tree-iii,Medium,True
hopper-company-queries-ii,Hard,True
lowest-common-ancestor-of-a-binary-tree-ii,Medium,True
hopper-company-queries-i,Hard,True
add-two-polynomials-represented-as-linked-lists,Medium,True
design-an-expression-tree-with-evaluate-function,Medium,True
all-valid-triplets-that-can-represent-a-country,Easy,True
find-the-missing-ids,Medium,True
check-if-two-expression-trees-are-equivalent,Medium,True
sellers-with-no-sales,Easy,True
find-nearest-right-node-in-binary-tree,Medium,True
build-binary-expression-tree-from-infix-expression,Hard,True
the-most-frequently-ordered-products-for-each-customer,Medium,True
binary-search-tree-iterator-ii,Medium,True
put-boxes-into-the-warehouse-ii,Medium,True
warehouse-manager,Easy,True
dot-product-of-two-sparse-vectors,Medium,True
unique-orders-and-customers-per-month,Easy,True
put-boxes-into-the-warehouse-i,Medium,True
bank-account-summary,Medium,True
strings-differ-by-one-character,Medium,True
the-most-recent-orders-for-each-product,Medium,True
the-most-similar-path-in-a-graph,Hard,True
fix-product-name-format,Easy,True
guess-the-majority-in-a-hidden-array,Medium,True
find-the-index-of-the-large-integer,Medium,True
the-most-recent-three-orders,Medium,True
diameter-of-n-ary-tree,Medium,True
move-sub-tree-of-n-ary-tree,Hard,True
customer-order-frequency,Easy,True
find-root-of-n-ary-tree,Medium,True
countries-you-can-safely-invest-in,Medium,True
design-a-file-sharing-system,Medium,True
friendly-movies-streamed-last-month,Easy,True
clone-n-ary-tree,Medium,True
clone-binary-tree-with-random-pointer,Medium,True
sales-by-day-of-the-week,Hard,True
delete-n-nodes-after-m-nodes-of-a-linked-list,Easy,True
find-all-the-lonely-nodes,Easy,True
calculate-salaries,Medium,True
rectangles-area,Medium,True
active-users,Medium,True
apples-oranges,Medium,True
evaluate-boolean-expression,Medium,True
create-a-session-bar-chart,Easy,True
npv-queries,Easy,True
find-the-quiet-students-in-all-exams,Hard,True
customers-who-bought-products-a-and-b-but-not-c,Medium,True
total-sales-amount-by-year,Hard,True
get-the-second-most-recent-activity,Hard,True
number-of-trusted-contacts-of-a-customer,Medium,True
activity-participants,Medium,True
students-with-invalid-departments,Easy,True
number-of-transactions-per-visit,Hard,True
ads-performance,Easy,True
running-total-for-different-genders,Medium,True
find-the-team-size,Easy,True
check-if-a-string-is-a-valid-sequence-from-root-to-leaves-path-in-a-binary-tree,Medium,True
weather-type-in-each-country,Easy,True
find-the-start-and-end-number-of-continuous-ranges,Medium,True
make-array-non-decreasing-or-non-increasing,Hard,True
check-if-an-array-is-consecutive,Easy,True
traffic-light-controlled-intersection,Easy,True
all-people-report-to-the-given-manager,Medium,True
print-immutable-linked-list-in-reverse,Medium,True
page-recommendations,Medium,True
counting-elements,Easy,True
number-of-ways-to-build-house-of-cards,Medium,True
maximum-font-to-fit-a-sentence-in-a-screen,Medium,True
number-of-single-divisor-triplets,Medium,True
number-of-comments-per-post,Easy,True
leftmost-column-with-at-least-a-one,Medium,True
web-crawler-multithreaded,Medium,True
first-unique-number,Medium,True
report-contiguous-dates,Hard,True
distance-to-a-cycle-in-undirected-graph,Hard,True
perform-string-shifts,Easy,True
team-scores-in-football-tournament,Medium,True
monthly-transactions-ii,Medium,True
tournament-winners,Hard,True
immediate-food-delivery-i,Easy,True
diet-plan-performance,Easy,True
web-crawler,Medium,True
market-analysis-ii,Hard,True
article-views-ii,Medium,True
user-activity-for-the-past-30-days-ii,Easy,True
reported-posts-ii,Medium,True
number-of-ships-in-a-rectangle,Hard,True
user-purchase-platform,Hard,True
active-businesses,Medium,True
reported-posts,Easy,True
highest-grade-for-each-student,Medium,True
handshakes-that-dont-cross,Hard,True
design-bounded-blocking-queue,Medium,True
new-users-daily-count,Medium,True
palindrome-removal,Hard,True
delete-tree-nodes,Medium,True
remove-interval,Medium,True
hexspeak,Easy,True
unpopular-books,Medium,True
game-play-analysis-v,Hard,True
divide-chocolate,Hard,True
synonymous-sentences,Medium,True
smallest-common-region,Medium,True
encode-number,Medium,True
game-play-analysis-iii,Medium,True
game-play-analysis-ii,Easy,True
valid-palindrome-iii,Hard,True
tree-diameter,Medium,True
design-a-leaderboard,Medium,True
array-transformation,Easy,True
sales-analysis-ii,Easy,True
sales-analysis-i,Easy,True
minimum-time-to-build-blocks,Hard,True
toss-strange-coins,Medium,True
meeting-scheduler,Medium,True
missing-number-in-arithmetic-progression,Easy,True
project-employees-iii,Medium,True
project-employees-ii,Easy,True
product-sales-analysis-ii,Easy,True
maximum-number-of-ones,Hard,True
stepping-numbers,Medium,True
two-sum-bsts,Medium,True
intersection-of-three-sorted-arrays,Easy,True
optimize-water-distribution-in-a-village,Hard,True
find-smallest-common-element-in-all-rows,Medium,True
minimum-knight-moves,Medium,True
how-many-apples-can-you-put-into-the-basket,Easy,True
shortest-distance-to-target-color,Medium,True
before-and-after-puzzle,Medium,True
count-substrings-with-only-one-distinct-letter,Easy,True
minimum-cost-to-connect-sticks,Medium,True
design-file-system,Medium,True
string-transforms-into-another-string,Hard,True
single-row-keyboard,Easy,True
divide-array-into-increasing-sequences,Hard,True
analyze-user-website-visit-pattern,Medium,True
minimum-swaps-to-group-all-1s-together,Medium,True
check-if-a-number-is-majority-element-in-a-sorted-array,Easy,True
parallel-courses,Medium,True
connecting-cities-with-minimum-cost,Medium,True
path-with-maximum-minimum-value,Medium,True
largest-unique-number,Easy,True
maximum-average-subtree,Medium,True
armstrong-number,Easy,True
remove-vowels-from-a-string,Easy,True
number-of-days-in-a-month,Easy,True
the-earliest-moment-when-everyone-become-friends,Medium,True
find-k-length-substrings-with-no-repeated-characters,Medium,True
two-sum-less-than-k,Easy,True
sum-of-digits-in-the-minimum-number,Easy,True
confusing-number-ii,Hard,True
brace-expansion,Medium,True
index-pairs-of-a-string,Easy,True
high-five,Easy,True
confusing-number,Easy,True
digit-count-in-range,Hard,True
campus-bikes-ii,Medium,True
fixed-point,Easy,True
number-of-valid-subarrays,Hard,True
longest-repeating-substring,Medium,True
missing-element-in-sorted-array,Medium,True
minimize-rounding-error-to-meet-target,Medium,True
campus-bikes,Medium,True
shortest-way-to-form-string,Medium,True
robot-room-cleaner,Hard,True
insert-into-a-sorted-circular-linked-list,Medium,True
similar-rgb-color,Easy,True
split-bst,Medium,True
minimize-max-distance-to-gas-station,Hard,True
search-in-a-sorted-array-of-unknown-size,Medium,True
basic-calculator-iii,Hard,True
encode-n-ary-tree-to-binary-tree,Hard,True
serialize-and-deserialize-n-ary-tree,Hard,True
find-anagram-mappings,Easy,True
employee-free-time,Hard,True
bold-words-in-string,Medium,True
convert-binary-search-tree-to-sorted-doubly-linked-list,Medium,True
pour-water,Medium,True
ip-to-cidr,Medium,True
number-of-corner-rectangles,Medium,True
closest-leaf-in-a-binary-tree,Medium,True
sentence-similarity-ii,Medium,True
sentence-similarity,Easy,True
minimum-window-subsequence,Hard,True
candy-crush,Medium,True
max-stack,Hard,True
number-of-distinct-islands-ii,Hard,True
number-of-distinct-islands,Medium,True
k-empty-slots,Hard,True
next-closest-time,Medium,True
path-sum-iv,Medium,True
equal-tree-partition,Medium,True
remove-9,Hard,True
coin-path,Hard,True
4-keys-keyboard,Medium,True
maximum-average-subarray-ii,Hard,True
design-search-autocomplete-system,Hard,True
design-log-storage-system,Medium,True
find-the-derangement-of-an-array,Medium,True
design-excel-sum-formula,Hard,True
minimum-factorization,Medium,True
students-report-by-geography,Hard,True
add-bold-tag-in-string,Medium,True
average-salary-departments-vs-company,Hard,True
second-degree-follower,Medium,True
shortest-distance-in-a-line,Easy,True
shortest-distance-in-a-plane,Medium,True
design-compressed-string-iterator,Easy,True
consecutive-available-seats,Easy,True
friend-requests-i-overall-acceptance-rate,Easy,True
design-in-memory-file-system,Hard,True
kill-process,Medium,True
count-student-number-in-departments,Medium,True
find-cumulative-salary-of-an-employee,Hard,True
get-highest-answer-rate-question,Medium,True
winning-candidate,Medium,True
squirrel-simulation,Medium,True
find-median-given-frequency-of-numbers,Hard,True
median-employee-salary,Hard,True
maximum-vacation-days,Hard,True
longest-line-of-consecutive-one-in-matrix,Medium,True
split-concatenated-strings,Medium,True
shortest-path-to-get-food,Medium,True
binary-tree-longest-consecutive-sequence-ii,Medium,True
split-array-with-equal-sum,Hard,True
boundary-of-binary-tree,Medium,True
output-contest-matches,Medium,True
construct-binary-tree-from-string,Medium,True
lonely-pixel-ii,Medium,True
lonely-pixel-i,Medium,True
word-abbreviation,Hard,True
widest-pair-of-indices-with-equal-range-sum,Medium,True
maximum-alternating-subarray-sum,Medium,True
all-paths-from-source-lead-to-destination,Medium,True
count-subarrays-with-more-ones-than-zeros,Medium,True
inorder-successor-in-bst-ii,Medium,True
the-maze-ii,Medium,True
the-maze-iii,Hard,True
the-maze,Medium,True
max-consecutive-ones-ii,Medium,True
find-permutation,Medium,True
encode-string-with-shortest-length,Hard,True
convex-polygon,Medium,True
optimal-account-balancing,Hard,True
sequence-reconstruction,Medium,True
ternary-expression-parser,Medium,True
word-squares,Hard,True
valid-word-square,Easy,True
sentence-screen-fitting,Medium,True
minimum-unique-word-abbreviation,Hard,True
valid-word-abbreviation,Easy,True
design-phone-directory,Medium,True
range-addition,Medium,True
plus-one-linked-list,Medium,True
find-leaves-of-binary-tree,Medium,True
nested-list-weight-sum-ii,Medium,True
design-hit-counter,Medium,True
bomb-enemy,Medium,True
sort-transformed-array,Medium,True
logger-rate-limiter,Easy,True
rearrange-string-k-distance-apart,Hard,True
line-reflection,Medium,True
design-snake-game,Medium,True
android-unlock-patterns,Medium,True
design-tic-tac-toe,Medium,True
moving-average-from-data-stream,Easy,True
longest-substring-with-at-most-k-distinct-characters,Medium,True
nested-list-weight-sum,Medium,True
largest-bst-subtree,Medium,True
maximum-size-subarray-sum-equals-k,Medium,True
number-of-connected-components-in-an-undirected-graph,Medium,True
generalized-abbreviation,Medium,True
shortest-distance-from-all-buildings,Hard,True
binary-tree-vertical-order-traversal,Medium,True
sparse-matrix-multiplication,Medium,True
range-sum-query-2d-mutable,Hard,True
number-of-islands-ii,Hard,True
smallest-rectangle-enclosing-black-pixels,Hard,True
binary-tree-longest-consecutive-sequence,Medium,True
best-meeting-point,Hard,True
flip-game-ii,Medium,True
flip-game,Easy,True
word-pattern-ii,Medium,True
unique-word-abbreviation,Medium,True
walls-and-gates,Medium,True
inorder-successor-in-bst,Medium,True
zigzag-iterator,Medium,True
wiggle-sort,Medium,True
find-the-celebrity,Medium,True
paint-fence,Medium,True
closest-binary-search-tree-value-ii,Hard,True
encode-and-decode-strings,Medium,True
closest-binary-search-tree-value,Easy,True
alien-dictionary,Hard,True
palindrome-permutation-ii,Medium,True
palindrome-permutation,Easy,True
paint-house-ii,Hard,True
graph-valid-tree,Medium,True
3sum-smaller,Medium,True
paint-house,Medium,True
verify-preorder-sequence-in-binary-search-tree,Medium,True
factor-combinations,Medium,True
meeting-rooms-ii,Medium,True
meeting-rooms,Easy,True
flatten-2d-vector,Medium,True
count-univalue-subtrees,Medium,True
group-shifted-strings,Medium,True
strobogrammatic-number-iii,Hard,True
strobogrammatic-number-ii,Medium,True
strobogrammatic-number,Easy,True
shortest-word-distance-iii,Medium,True
shortest-word-distance-ii,Medium,True
shortest-word-distance,Easy,True
reverse-words-in-a-string-ii,Medium,True
two-sum-iii-data-structure-design,Easy,True
missing-ranges,Easy,True
one-edit-distance,Medium,True
longest-substring-with-at-most-two-distinct-characters,Medium,True
read-n-characters-given-read4-ii-call-multiple-times,Hard,True
read-n-characters-given-read4,Easy,True
binary-tree-upside-down,Medium,True
